NR.CRT,Capitol,Subcapitol,Situația Clinică,Tip,Examen,Indicație,Grad Indicație,Comentarii,Alte informații,Doza Min,Doza Max,Terapeutic
1245,Radiologie intervențională,Aparat cardiovascular,Disecție aortică-Tratamentul sdr. de malperfuzie,I,"Fenestrare, endoprotezare",Doar cu aviz specializat,B,Ischemiile secundare unei disecții trebuie tratate de preferință pe cale endovasculară.,RI - PB2,3,4,Da
1246,Radiologie intervențională,Aparat cardiovascular,Embolie pulmonară,A,Angiografie invazivă,Neindicat,C,"Angiografia pulmonară nu mai reprezintă tehnica de referință în diagnosticul emboliei pulmonare, locul său fiind preluat de CT-ul toracic cu contrast (angiografia CT). ",RI - PB-D,3,3,Nu
1247,Radiologie intervențională,Aparat cardiovascular,Embolie pulmonară,I,Inserția unui filtru în vena cavă inferioară,Doar cu aviz specializat,B,"În caz de tromboză venoasă a membrelor inferioare sau venelor pelvine, inserarea unui filtru în VCI este indicat doar în câteva cazuri particulare: recidivă de embolie pulmonară în ciuda unui tratament anticoagulant eficace, extensie a emboliei pulmonare sub tratament anticoagulant sau embolie pulmonar la pacient cu contraindicație de tratament anticoagulant.",RI - PB4,2,2,Da
1248,Radiologie intervențională,Aparat cardiovascular,Insuficiența cardiacă,A,Angiografie invazivă,Doar în cazuri particulare,A,Măsurarea volumelor și fracției de ejecție dacă ecografia și IRM nu se pot efectua,RI - PB-D,2,2,Nu
1249,Radiologie intervențională,Aparat cardiovascular,Pericardită constrictivă,A,Cateterism cardiac drept,Indicat,A,,RI - PB-D,0,0,Nu
1250,Radiologie intervențională,Aparat cardiovascular,Sindrom coronarian acut,A,Coronarografie directă / invazivă,Indicat,B,"Evaluare coronariană sau vase de by-pass bună, posibilități de evaluare dinamică (sonda FFR), cuantificare stenoze, tratament.",RI - PB-D,3,3,Nu
1251,Radiologie intervențională,Aparat cardiovascular,Boala coronariană cronică și evaluare post IMA,A,Coronarografie directă / invazivă,Indicat,B,"Evaluarea precisă a statusului coronarian, a stenozelor (localizare, extensie, grad). Evaluare pre și postintervenție (stent, by pass auto sau alograft)",RI - PB-D,3,3,Nu
1252,Radiologie intervențională,Aparat cardiovascular,"Suspiciune de cardiomiopatie aritmogenă de ventricul drept, aritmii",A,Angiografia de ventricul drept,Doar în cazuri particulare,B,Nu este integrat în algoritmul de diagnostic CAVD dar poate fi util la pacienții la care eco și IRM sunt incomplete sau contraindicate,RI - PB-D,0,0,Nu
1253,Radiologie intervențională,Aparat cardiovascular,Stenoză carotidiană asimptomatică,A,Arterografie cervico-encefalica,Doar cu aviz specializat,B,In cazul discordantei dintre tehnicile noninvazive. Delimiteaza mai clar intre stenoza subocluziva si ocluzie.,RI - PA-D,2,3,Nu
1254,Radiologie intervențională,Aparat cardiovascular,Stenoză carotidiană asimptomatică,I,Angioplastie carotidiană [C],Doar în cazuri particulare,?,Stenoza 60% asimptomatica -nu exista indicatie demonstrata de angioplastie cu stent (se poate propune daca interventia chirurgicala  e contraindicata). Stenoza radica sau restenozarea postchirurgicala - angioplastia este o alternativa.,RI - PA3,3,4,Da
1255,Radiologie intervențională,Aparat cardiovascular,Stenoză carotidiană simptomatică,I,Angioplastie carotidiană,Doar cu aviz specializat,B,"Tratamentul recomandat pentru stenozele carotidiene rămâne pentru majoritatea cazurilor endarterectomia. Indicațiile potențiale ale tratamentului endovascular interesează pacienții cu risc chirurgical important, după cum au fost definite de studiul Sapphire: vârstă peste 80 ani, insuficiență cardiacă de clasă III/IV și o fracție de ejecție ventriculară stângă sub 30%, intervenție chirurgicală pe cord deschis cu mai puțin de 6 săptămâni înainte, infarct miocardic recent (la peste 24 ore și mai puțin de 4 săptămâni), angor instabil (clasa CCS III/IV), boală pulmonară severă, ocluzie carotidiană controlaterală, paralizie de nerv laringeu, intervenție chirurgicală sau iradiere a gâtului, antecedente de endarterectomie carotidiană sau acces chirurgical dificil și pacienții care intră în studiile randomizate (chirurgie versus angioplastie).",RI - PA3,3,4,Da
1256,Radiologie intervențională,Aparat cardiovascular,Stenoza artera vertebrala simptomatica,I,Dilatare/ proteză endovasculară a AV,Indicat,B,"La pacienti cu stenoze >50% in segmentele extracraniene, cu evenimente ischemice repetitive in ciuda unui tratament medicamentos optim",RI - PA3,2,3,Da
1257,Radiologie intervențională,Aparat cardiovascular,Stenoza/ocluzie artera subclavie asimptomatica,I,Dilatare/ proteză endo- vasculară a AS,Indicat,C,Indicata la pacienti cu sau planificati pentru by-pass coronarian cu utilizare de graft mamar intern ipsilateral sau la pacienti cu fistula A-V ipsilaterala pentru dializa; poate fi luata in calcul la pacienti cu stenoze bilateral de artere subclavii pentru monitorizarea acurata a valorilor tensionale,RI - PB1,2,3,Da
1258,Radiologie intervențională,Aparat cardiovascular,Stenoza/ocluzie artera subclavie simptomatica,I,Dilatare/ proteză endovasculară a AS,Indicat,C,Stentarea cu eficacitate si patenta superioare angioplastiei (dilatarii),RI - PB1,2,3,Da
1259,Radiologie intervențională,Aparat cardiovascular,Hipertensiune arterială consecutiv unei fibrodisplazii de arteră renală,I,Angioplastie renală percutană,Doar cu aviz specializat,B,Alegerea între angioplastie și reparație chirurgicală depinde de complexitatea și localizarea leziunii.,RI - PB1,3,4,Da
1260,Radiologie intervențională,Aparat cardiovascular,Hipertensiune arterială asociată cu o stenoză ateromatoasă,I,Angioplastie renală percutană/ proteză endo- vasculară,Doar în cazuri particulare,A,"Hipertensiunea asociată cu o stenoză ateromatoasă a arterei renale trebuie să fie tratată clinic. Angioplastia percutană/proteza endovasculară poate fi utila la pacienți selecționați, cu hipertensiune necontrolată medicamentos.",RI - PB1,3,4,Da
1261,Radiologie intervențională,Aparat cardiovascular,Insuficiență renală consecutiv unei stenoze ateromatoase,I,Angioplastie renală percutană/ proteză endo- vasculară,Neindicat,B,Aceste proceduri trebuie rezervate pentru pacienți atent selecționați.,RI - PB1,3,4,Da
1262,Radiologie intervențională,Aparat cardiovascular,Ischemie cronică mezenterică,I,Dilatare/ proteză endovasculară a AMS,Indicat,B,"La pacienți selecționați, această intervenție este sigură și aduce rezultate clinice interesante.",RI - PB1,3,4,Da
1263,Radiologie intervențională,Aparat cardiovascular,Arteriopatii periferice simptomatice (arteriopatiile asimptomatice nu necesită evaluare imagistică!),A,Angiografie directă / invazivă,Doar cu aviz specializat,A,"Evaluare preterapeutică, performanță bună a evaluării gradului de stenoza, evaluare dinamică. E înlocuită de rutină de Angio-CT.",,2,2,Nu
1264,Radiologie intervențională,Aparat cardiovascular,Ischemie acută și subacută a membrelor inferioare de cauză embolică,I,Fibrinoliză/ trombo-aspirație,Indicat,B,Fibrinoliza medicamentoasă este indicată în anumite cazuri ca de ex by-pass sau tromboze precoce. Trombaspirația poate fi indicată în cazul emboliilor recente (de ex. poplitee). Cele două tehnici pot fi asociate. Sunt în evaluare în prezent materiale referitoare la trombectomie.,RI - PB1,2,2,Da
1265,Radiologie intervențională,Aparat cardiovascular,Ischemie de membru inf. (stenoză iliacă),I,Angioplastie +/- endoprotezare,Indicat,B,"Decizia de endoprotezare după angioplastie depinde de mai mulți factori, mai ales de o stenoză reziduală și/sau un gradient de presiune rezidual la nivelul zonei tranzitate cât și de localizarea, lungimea și caracteristicile leziunii.",RI - PB1,2,2,Da
1266,Radiologie intervențională,Aparat cardiovascular,Ischemie de membru inf. (ocluzie iliacă),I,Protezare endovasculară,Indicat,B,Atitudinea de endoprotezare de la început a leziunilor ocluzive iliace este în general admisă.,RI - PB1,2,2,Da
1267,Radiologie intervențională,Aparat cardiovascular,Ischemie de membru inferior (ocluzie femurală),I,Angioplastie femurală superficială/ poplitee,Indicat,B,"Tratamentul medical este de primă intenție. Indicațiile de revascularizare sunt în funcție de stadiul clinic (claudicație sau ischemie critică, stadiu 3 și 4) și de caracteristicile leziunii. Angioplastia percutană femurală superficială și/sau poplitee este eficace pentru restabilirea permeabilității pe termen scurt, dar pentru evitarea recurgerii la by-pass chirurgical, sunt necesare frecvent angioplastii iterative. Procentele de permeabilitate primară sunt mai bune după angioplastie decât după bypass. Poziționarea unei endoproteze poate fi indicată în caz de ocluzie, de ischemie critică și în eșecurile angioplastiei.",RI - PB1,2,2,Da
1268,Radiologie intervențională,Aparat cardiovascular,Ischemie de membru inferior (ocluzia arterelor gambei),I,Angioplastie tibio-peronieră,Doar cu aviz specializat,B,"Dacă există o leziune steno-ocluzivă localizată la nivelul trunchiului tibio-peronier, angioplastia poate fi recomandată ca tratament de primă linie la pacienții cu ischemie critică. Procedura nu este indicată inițial în caz de claudicație simplă.",RI - PB1,2,2,Da
1269,Radiologie intervențională,Aparat cardiovascular,Malformații vasculare,A,Angiografie directă / invazivă,Doar în cazuri particulare,C,Uneori necesară pentru bilanț preterapeutic.,RI - PB-D,2,3,Nu
1270,Radiologie intervențională,Aparat cardiovascular,Malformație arterio-venoasă pulmonară,I,Angiografie pulmonară cu embolizare,Doar cu aviz specializat,B,Tratamentul prin embolizare este propus sistematic ca primă intenție.,RI - PB2,3,4,Da
1271,Radiologie intervențională,Aparat cardiovascular,Fistula de hemodializă,I,Fistulografie cu angioplastie,Indicat,B,Diagnostic și tratament al complicațiilor fistulei de hemodializă.,RI - PB4,2,2,Da
1272,Radiologie intervențională,Aparat cardiovascular,Ocluzie venoasa la pacienti cu fistula AV de dializa,I,Angioplastie +/- endoprotezare,Doar cu aviz specializat,C,"Procedura permite salvarea fistulei de dializa daca este efectuata cat mai precoce, preferabil inainte de producerea ocluziei. Monitorizarea debitului fistulei este recomandata pentru terapia Endovasculara a stenozelor si prevenirea ocluziilor",RI -PB4,3,4,Da
1273,Radiologie intervențională,Aparat cardiovascular,Stenoza venoasa la pacienti cu fistula AV de dializa,I,Angioplastie +/- endoprotezare,Doar cu aviz specializat,?,,RI - PB4,3,4,Da
1274,Radiologie intervențională,Aparat cardiovascular,Obstrucție de Venă cavă superioară,I,Endoprotezare de VCS,Doar cu aviz specializat,B,"Pacienții cu obstrucție malignă de VCS au o speranță de viață scurtă. Simptomele lor sunt severe și incomplet rezolutive sub radioterapie. Endoprotezarea este o procedură paleiativă simplă, efectuată sub anestezie locală. După poziționarea endoprotezei, majoritatea pacienților rămân asimptomatici. O recidivă simptomatică survine la aprox. 10% din pacienți și poate fi tratată printr-o nouă procedură. Poziționarea unei endoproteze trebuie să fie tratamentul primar al unei obstrucții de cavă superioară de origine tumorală, mai ales dacă există riscul ca tumora să nu răspundă rapid la chimiradioterapie. Alternativele la endoprotezare (angioplastie și intervenție chirurgicală) sunt indicate la pacienții cu stenoze benigne și la cei cu o speranță de viață mai mare.",RI - PB4,3,4,Da
1275,Radiologie intervențională,Aparat cardiovascular,Tromboză venoasă pelvină,A,Flebografie pelvină,Doar în cazuri particulare,C,Evaluare dinamică și bilanț preterapeutic.,RI - PB-D ,2,3,Nu
1276,Radiologie intervențională,Aparat cardiovascular,Tromboza venoasa profunda acuta,I,Fibrinoliză sistemica,Neindicat,B,Contraindicție,RI - PB4,0,0,Da
1277,Radiologie intervențională,Aparat cardiovascular,Tromboza venoasa profunda acuta,I,Fibrinoliză locala / trombo-aspirație,Doar cu aviz specializat,C,"Clot removal by endovenous techniques may be considered for patients with symptomatic acute iliofemoral DVT to prevent or reduce post-thrombotic syndrome, ideally for patients with onset of symptoms within 21 days, good functional status, reasonable life expectancy and low risk of bleeding (IIb, B, weak, moderate). Endovenous techniques may be reasonable as first-line therapy for early thrombus removal (IIb, C, weak, low)",RI - PB4,3,4,Da
1278,Radiologie intervențională,Aparat cardiovascular,Tromboza venoasa profunda acuta,I,Protezare endovasculară,Doar cu aviz specializat,C,"At the time of clot removal, stenting of the iliac venous system, with self-expanding metallic stents, may be considered in cases of clinically significant stenosis or extrinsic compression (IIb, C, weak, low). Stenting of the infrainguinal veins is not recommended (III, C, weak, low",RI - PB4,3,4,Da
1279,Radiologie intervențională,Aparat cardiovascular,Tromboza venoasa profunda acuta,I,Filtru vena cava,Doar în cazuri particulare,C,Pacienți adulți cu orice TVP proximală acută (sau EP acută) cu contraindicații la anticoagulare sau cu sângerări active ar trebui să primească un filtru IVC (Clasa I; Nivel de dovezi B),RI - PB4 ,1,2,Da
1280,Radiologie intervențională,Aparat cardiovascular,Varicocel,I,Embolizare,Indicat,A,"Embolizarea este un tratament eficace în cazul hipofertilității sau de manifestări clinice ale varicocelului, cu complicații mai puține decât tratamentul chirurgical.",RI - PB4,3,4,Da
1281,Radiologie intervențională,Aparat cardiovascular,Traumatism al aortei toracice,A,Angiografia aortei toracice,Doar cu aviz specializat,B,"Angiografia este utilă în cazul tratamentului de endoprotezare care, în prezent, este alternativa de referință.",RI - PB-D ,2,2,Nu
1282,Radiologie intervențională,Aparat cardiovascular,ALTĂ SITUAȚIE CLINICĂ,Z,Situație clinică neîncadrabilă,Este necesară justificare detaliată,,,,,,
1283,Radiologie intervențională,Aparat cardiovascular,Boala coronariană cronică și evaluare post IMA,A,Coronarografie directă / invazivă,Indicat,B,"Evaluarea precisă a statusului coronarian, a stenozelor (localizare, extensie, grad). Evaluare pre și postintervenție (stent, by pass auto sau alograft)",,3,3,Nu
1284,Radiologie intervențională,Aparat cardiovascular,Insuficiența cardiacă,A,Angiografie invazivă,Doar în cazuri particulare,A,Pentru evidențierea leziunilor coronariene semnificative; măsurarea volumelor și fracției de ejecție dacă ecografia și IRM nu se pot efectua,,3,3,Nu
1285,Radiologie intervențională,Aparat cardiovascular,Pericardită constrictivă,A,Cateterism cardiac drept,Indicat,A,evidențierea fiziologiei constrictive,,3,3,Nu
1286,Radiologie intervențională,Aparat cardiovascular,Sindrom aortic acut,A,Arteriografie,Neindicat,?,,,2,2,Nu
1287,Radiologie intervențională,Aparat cardiovascular,Sindrom coronarian acut,A,Coronarografie directă / invazivă,Indicat,B,"Evaluare coronariană sau vase de by-pass bună, posibilități de evaluare dinamică (sonda FFR), cuantificare stenoze, tratament.",,3,3,Nu
